(-88.6092,41.9056)
(-88.5948,41.9056)
(-88.1894,41.82)
(-88.1506,41.82)
(-87.7538,41.8455)
(-87.7538,41.8455)
(-88.1272,42.4355)
(-88.1095,42.4481)
(-88.1038,41.8673)
(-88.097,41.8685)
(-87.8557,41.8238)
(-87.8445,41.8259)
(-87.6351,41.5055)
(-87.6351,41.5055)
(-88.8662,41.3475)
(-88.8236,41.3471)
(-88.1044,41.0505)
(-88.0852,41.0505)
(-89.1643,41.9303)
(-89.085,41.9303)
(-87.8462,41.9233)
(-87.7959,41.9233)
(-88.5399,41.2353)
(-88.5399,41.2353)
(-88.47,41.77)
(-88.47,41.77)
(-89.11,41.27)
(-89.11,41.27)
(-89.0104,41.3407)
(-89.0104,41.3407)
(-88.3148,42.2464)
(-88.3148,42.2464)
(-89.1045,41.577)
(-89.1045,41.577)
(-88.25,41.9)
(-88.25,41.9)
(-87.9009,41.8498)
(-87.8671,41.8503)
(-88.3341,41.8506)
(-88.2942,41.8506)
(-88.065,41.1483)
(-88.049,41.1483)
(-87.8132,41.8795)
(-87.8132,41.8795)
(-87.681,41.9658)
(-87.681,41.9658)
(-88.5228,41.2248)
(-88.5228,41.2248)
(-88.5367,41.8955)
(-88.5367,41.8955)
(-89.12,41.55)
(-89.12,41.55)
(-88.8448,41.3534)
(-88.8275,41.3523)
(-87.8618,41.9827)
(-87.8618,41.9827)
(-88.0922,41.8716)
(-88.0543,41.8859)
(-87.75,41.72)
(-87.75,41.72)
(-87.87,41.63)
(-87.8306,41.6311)
(-88.3874,41.7602)
(-88.2693,41.7602)
(-87.6765,41.1673)
(-87.6457,41.1673)
(-87.7897,41.5655)
(-87.7897,41.5655)
(-87.7661,41.88)
(-87.6203,41.88)
(-88.5008,41.2161)
(-88.5008,41.2161)
(-89.4974,41.7798)
(-89.4974,41.7798)
(-87.87,41.53)
(-87.87,41.53)
(-88.5605,41.9173)
(-88.537,41.9179)
(-88.5343,41.8834)
(-88.5343,41.8834)
(-88.0968,41.6957)
(-88.0441,41.6957)
(-87.9833,41.5072)
(-87.9315,41.5063)
(-87.8332,41.8939)
(-87.7947,41.8944)
(-89.0315,41.2959)
(-89.0172,41.2959)
(-87.8862,41.1426)
(-87.8382,41.1426)
(-88.7139,42.0972)
(-88.6788,42.0972)
